label	premise	hypothesis
1	A girl wearing black is riding a giant unicycle on the beach.	The beach is cold
2	A group of mountain climbers rests at the summit.	A scuba diver runs out of air.
2	A man sits behind a decorated table inside a room with fabrics draped down the walls.	Man building a house out of stone.
0	Two men are interacting with some sort of mechanical contraption that is mounted on a wall.	Some men work on a machine on a wall.
0	Several men at a bar watch a sports game on the television.	Some men are watching TV at a bar.
0	An adventurous man navigates through the jungle with a long stick.	There is a person outside.
2	A young boy is hugging a wooden post.	A boy gets his tongue stuck to a metal post.
2	a dog jumps over the pole.	Dog is asleep on the floor.
0	Five people standing under a tent-like structure celebrating the 25th Annual Longboard Classic.	People are celebrating.
1	Children are playing in the street with a toy.	The children have a ball.
2	A female bicyclist wearing black, and having four number 9's printed on her limbs on a bike.	A woman is riding a skateboard.
2	A man in a red muscle shirt poses for a picture beside a stone building whilst other people pass by.	the man is at home sleeping
0	Two girls wearing hats are running through snow drifts outside.	two girls running
2	Two daschunds play with a red ball	A cat in a litter box.
2	A woman in a red jacket walks down the street in the rain.	Woman walks down street on sunny day
2	A boy is running in a spinning metal tunnel in the playground.	He can carry the tunnel home.
2	Two racers race on motorcycles.	Two people are racing cars.
0	Boys in what appears to be a library or school room.	Children are indoors.
0	A woman in a green suit walking towards an escalator.	A woman walks to an escalator.
0	A man walks along with a can of soda in his hand.	A person walks along with a can of soda in his hand.
0	A tennis player in a pink outfit serves the ball to her opponent.	The woman hits a ball.
2	A schoolgirl is jumping over a low hurdle.	A girl tripped on herself before she attempt to jump over a hurdle.
0	Two dogs wearing muzzles are running.	there are dogs with muzzles
1	A black woman is sitting on the beach examining an octopus.	The woman has been fishing in the ocean
0	An older white woman makes cupcakes in her kitchen.	An old woman is in a kitchen.
1	A young girl with blond-hair eating a peach.	A young girl eating a peach, while discussing the times of old with her friend.
2	Children on the beach with their dog.	The children are asleep on the couch with their dog.
2	a woman wearing a pink tank top holding a mug of liquid	A woman in a blue tank top holding a car.
0	A woman wearing a yellow jacket skis down a snowy hill.	A woman is outside.
2	A woman holding bags behind plantains.	The woman is holding old trashcans to carry various objecs.
2	A man in a blue helmet is riding his motorcycle.	The man is sparring in the gym.
0	A bare chested smiling child plays in water.	There is a topless child playing in the water.
2	A man in a red shirt is learning how to climb a cliff.	A man is playing videogames.
0	A man is shooting a gun outdoors, on what looks like a beautiful sunny day.	A man is shooting a gun at targets on a nice day.
0	A man in a striped shirt standing behind a large pile of fruits.	a man stands near some fruit
1	A young boy in a straw hat drinks out of a plastic pink cup.	A kid is holding a soda can and walking through the park.
2	An entertainers reaches out to his audience during a performance.	A man juggling flaming torches.
0	a dog about to jump to catch a Frisbee	The dog is going to catch a frisbee.
0	A man wearing a checkered shirt, cream suit and tennis shoes sits on a bench.	the guy in funky clothes is on the bench
1	Two guys walking, one carrying a skateboard	The men are walking to the park.
1	I am squatting on a dock, looking into a lake.	I am at the lake with my family.
1	Security officer working outside.	A security officer is dressed in a uniform.
