label	question	sentence
1	When did the European Anti-Fraud Office investigate John Dalli?	This led to the creation of the European Anti-fraud Office.
1	Building printing is making it possible to flexibly construct small commercial buildings and private habitations in what amount of time?	New techniques of building construction are being researched, made possible by advances in 3D printing technology.
0	Who was exempt from the meritocratic principles of the Mongol Empire?	The exception was the role of Genghis Khan and his family.
1	Where are international corporations headquartered?	West Irvine includes the Irvine Tech Center and Jamboree Business Parks.
1	Where is the Apache Point Observatory located?	Although formally unrelated, the National Opinion Research Center is located on Chicago's campus.
0	Which cathedral is located in Fenham?	Newcastle has three cathedrals, the Anglican St. Nicholas, with its elegant lantern tower of 1474, the Roman Catholic St. Mary's designed by Augustus Welby Pugin and the Coptic Cathedral located in Fenham.
1	Who did the Panthers beat to become the NFC champs?	The Broncos finished the regular season with a 12–4 record, and denied the New England Patriots a chance to defend their title from Super Bowl XLIX by defeating them 20–18 in the AFC Championship Game.
1	How big are phycobilisomes?	Phycobilins come in all colors, though phycoerytherin is one of the pigments that makes many red algae red.
0	When was the coldest temperature in Newcastle recorded?	Temperature extremes recorded at Newcastle Weather Centre include 32.5 °C (90.5 °F) during August 1990 down to −12.6 °C (9.3 °F) during January 1982.
1	What is the average plant biosmass?	The total number of tree species in the region is estimated at 16,000.
1	Persistent unemployment has what effect on long-term economic growth?	Policies aiming at controlling unemployment and in particular at reducing its inequality-associated effects support economic growth.
1	How did war start?	The dispute erupted into violence in the Battle of Jumonville Glen in May 1754, during which Virginia militiamen under the command of 22-year-old George Washington ambushed a French patrol.
0	What are we unsure of about how chloroplasts make methionine precursors?	The chloroplast is known to make the precursors to methionine but it is unclear whether the organelle carries out the last leg of the pathway or if it happens in the cytosol.
0	How is Temüjin written in pinyin?	Temüjin is written in Chinese as simplified Chinese: 铁木真; traditional Chinese: 鐵木眞; pinyin: Tiěmùzhēn.
1	What percentage of German students attended private schools in 2008?	Percent of students in private high schools reached 11.1%.
