label	text
1	I must confess, I was surprised at how good this movie was when I first watched it. I had planned to see it in theaters during the summer but found out unpleasantly that it had already been and gone. Therefore, I expected it to have been removed from theaters because it was bad. Then, today, I rented it and watched it and really enjoyed it. The speed that events were occurring was questionable, it could have been a little longer. I found it was very true to the book, however it left out some crucial parts: Mullet Finger's real name, etc. I felt as if I hadn't read the book I wouldn't have really understand what was going on. The acting was quite good, another thing I had expected to be poor, however the cop, sorry I can't remember the actor's name, could have done a little better. All in all, I found this to be a very entertaining movie and would recommend it to all audiences!
0	This movie was unbelievably bad... It's gory but the violence is just too much to the point where it looks extremely fake and predictable. Since Everything is shown to you there is nothing left to the imagination. And the plot... what plot? There really isn't any! The pacing is unbelievably slow (despite the random acts of violence) and the screenplay must have been written by a deranged 12 year old kid who kills kittens for fun. So this movie was banned in 31 countries? I could see why... not because of the gore (boring and trite) but because it was a terrible movie. It should have been BANNED from existence. Avoid this one like the plague. 1 out of 10
0	 Very dull, laborious adaptation of Amis's amusing satire. The hero is portrayed not as a likeable loser but a merely oafish cretin. Most of the rest are pure caricatures with only Helen McCrory putting in real quality and providing something of the novel's wit. The period setting is camped up as if it were the 1920s, not the post-war period of horror comics and rock'n' roll. A real dud even by the standards of bad UK TV. 
1	Wonderfully funny, awe-inspiring feature on the pioneers of turntablism. DJ Shadow and Q-Bert are amazing in this terrific documentary. Check out just about every major DJ crediting their getting in to scratch thanks to Herbie Hancock's post-bop classic 'Rockit', and archival footage of some of the most complex and mind-blowing turntable routines of all time.
1	I can't believe this isn't a huge cult hit. Perhaps people in 1968, thinking of the Monkees as a silly factory-made pop band rip-off of the Beatles, refused to see it. That cynicism probably covered it from sight ever since. Don't make this mistake. _Head_ is an amazing film that most open minded people will appreciate. It is very funny and very intelligent (and very trippy).
0	This film has the language, the style and the attitude down ... plus greats rides from Occy (a world champ) and the great Jerry Lopez. John Philbin as Turtle has the surf pidgin down, and the surfing scenes are still the best ever. A true classic that can be seen many times. Nia Peeples is a babe, and Laird Hamilton shows the early stuff that has made him the world's number one extreme surfer.
0	This movie is very disappointing for one who has read the book. As written by Rafael Sabatini, this was a clean cut tale of piracy in the Caribbean, and it would have made a grand motion . Also, it would have been very simple to make. All the action takes place aboard ship and on a deserted island. Unfortunately, the screen writers took the title from Sabatini then threw the rest of the book away. Even the name of the main character was changed, and his screen personality was completely different from that of the individual described in the novel. It's a sad loss for one who loves a good sea story.
1	After all these years, of Peter O'Tool's brilliant, costly giving of his Soul, film after film, at last, Hollywood tosses him an Oscar recently. Country Dance showed up one night late, and of course, blew me out of my complainant niche in my alleged "Life". How does he do it? York again also is brilliant in this kind of play. Both psychological battleships loaded for bear.... Bravo to author, director, cast, and camera crew. No wonder the Nazi's lost to these Irish, Scot, English blends....brutal honesty hurts...back in the 70's, when I personally believed "honesty" was pure and absolutely vital to trust. I have modified my edgy extremes, and will settle for more human, warm flaws within myself and others. Forgiveness allows humanity to have a reverse gear, and allows us to fix our own bull headed egos and erotic mistakes....
0	What a silly movie. While it looks nice, it doesn't make a lot of sense. On the one hand, the film suggests that Juana's "madness" was that she was just a woman ahead of her time. On the other hand, she has an obsession that is right out of the worst Victorian novel of the wronged woman, and that does seem a sort of mental problem, like Miss Havesham in a castle. This movie is what Elizabeth would have been if Elizabeth had not been able to get past Essex's sexual attraction.
1	This movie typifies the early eighties as well as FUN!! I remember watching this movie on HBO when I was little, and it was my favorite movie. Since it was a while ago, no one I had ever met knew what it was. Then, about the time my roommate had said she had seen it too, and that it was her favorite, they started to print it again!! Luckily, I have a copy now!! If anyone ever wants to see the greatest (cheesy) scavenger hunt that was probably the beginning ideas of hazing for frats, this movie is it!!! (Watcher - has to have a serious love for cheesy 80's type movies!!)
0	A few words for the people here in germen's cine club: The worst crap ever seen on this honorable cinema. A very poor script, a very bad actors, and a very bad movie. Don't waste your time looking this movie, see the very good "mutantes verdes fritos anarquia radioactiva", or any movie have been good commented by me. Say no more.
1	This is like something I have NEVER seen before. It had me cracking up the whole time I don't think there was one scene that I didn't laugh through. It is about a girl from the country in South who goes off to a big town for college. At the school she befriends the RA across the hall. When she realizes that he has no family to go to for Thanksgiving she invites him to come home with her. Rabecca and her family and her serious boyfriend all go out to dinner one night and Becca realizes what her boyfriend is about to do...Propose. She urges Cral to do something so he stands up and shouts something like... Sorry mate but you are too late I already asked Becca to marry me a couple of weeks ago back at the school and she said yes. That all turns into Chaos. Please watch this classic it is totally worth it... I swear.
0	Bela Lugosi as God? Transvestites discussed in a movie in the straight-laced 1950s? By golly, this must be an Ed Wood film. Watching this movie, I felt a combination of guilt, pleasure, and nausea all at the same time. The story is about Glen (Ed Wood himself) and his cross-dressing alter-ego Glenda. Somehow, if this movie were made now, I could see Kevin Kline playing Glen/Glenda. Notice how all the cross-dressers' alter egos are versions of their male name (Glen/Glenda, Robert/Roberta, etc.). It attempts to sympathetically portray it as the mental disorder that it is, rather than as a graphic perversion.  Somehow, Wood manages to sneak in bondage and S&M sequences into his initial story of Glen/Glenda. Along with these racy scenes, Satan himself shows up, obviously having a bad hair day. The dialog and pace are nonexistent, but the film is enjoyable in its context -- the weird world of Ed Wood. Sterno says put on your favorite lace panties for this one.
1	Paul Mazursky's Tempest - Interesting,odd and strange movie about a mid-life crisis.Set in NYC and a remote Greek Island with John Cassavettes as world renowned architect who decides to drop out.He is accompanied by his daughter(Molly Ringwald) and a lounge singer(Susan Sarandon).A beautiful transfer of this 25 year old movie on the DVD- but without any extras-not even the theatrical trailer.Tons of great scenery and razor-sharp dialogue make this 2 and a half hour movie an interesting trip.Raul Julia and Gena Rowlands round out a strong cast.A good drama mixed with comedy and tension and near insanity.This recent DVD release is worth renting. B+
0	I got seriously ripped off with this purchase. The other posters pretty well cover the failings of this poor poor film. My DVD that I purchased actually had the 1978 Piranha poster art on the cover with the credits for that film on the front 'Directed by Joe Dante', etc. I was really disappointed to find the wrong film on the disc. I am actually a fan of lots of bad movies. There is always something funny or at least amusing on most of them somewhere. NOt this film! I am actually going to spend the three dollars in gas money to return this two dollar DVD just for the principle of the thing. Blatant false packaging here. Easily the worst movie of all time. No redeeming factors at all. BORING!!!Not even worth checking out just to see how bad it is. Seriously.
