label	text
0	N.Korea called worst for press freedom Media watchdog Reporters Without Borders has labeled North Korea and Cuba the worst countries in terms of press freedom, with Denmark being the best.
2	Wal-Mart China business grows Wal-Mart Stores, the worlds No.1 retailer, said the number of its China stores would be lifted by at least 15 new stores with the total of around 45 outlets throughout China.
2	Branson: Virgin Billionaire Eyes China Telecom Deal Can you hear him now: Virgin Group Chairman Richard Branson said in Hong Kong that his company has earmarked $300 million for a cell phone joint venture in China.
1	Sosa exits before game, angering management When his Cubs teammates were taking the field Sunday for the final game of the season, Sammy Sosa already had taken off. And now it is possible Sosa has played his final game as a Cub.
1	Roddick breaks down Safin Top-seeded Roger Federer overcame a second-set lapse and remained unbeaten in the ATP Masters Cup Championships with a victory last night over Carlos Moya.
0	UN Council Votes Ivory Coast Arms Embargo (Reuters) Reuters - The U.N. Security Council on Monday imposed an immediate arms embargo on Ivory Coast and voted to punish key government and rebel leaders with additional sanctions next month.
1	Australia conquer their final frontier Adam Gilchrist boldly went where no Australian captain since Bill Lawry has gone before at the VCA Stadium in Nagpur yesterday. His team's 342-run win gave them an invincible 2-0 
2	Stocks End Flat, Intel Jumps After Hours  NEW YORK (Reuters) - U.S. stocks ended slightly lower on  Tuesday, but well above their lows, after crude oil retreated  from a record of over $54 a barrel.
1	Chance to Measure Up During his 14 seasons as an NFL assistant and head coach, Virginia Coach Al Groh was often involved in the evaluation of college prospects.
2	Primaris to spend $3.8B on jets Primaris Airlines Inc. has announced plans to buy 20 Boeing 7E7-8 Dreamliners and 20 737-800s, a deal worth $3.8 billion at list prices, the new low-cost business carrier and the Boeing Co.
2	Stocks up in midst of mixed signs Stocks edged higher Friday as another drop in oil prices helped Wall Street withstand the effects of a disappointing jobs creation report.
2	Stocks Open Higher, Shrug Off Oil Spike  NEW YORK (Reuters) - U.S. stocks opened higher on Tuesday,  with beaten down shares offering bargains to investors and oil  producer stocks bolstered by crude oil prices breaking through  the $50 a barrel mark.
1	Raptors fall to Nuggets CBC SPORTS ONLINE - After starting the season with three straight wins, the Toronto Raptors are heading back home with a losing record.
1	Fish coasts through Second seed Mardy Fish brushed aside the challenge of qualifier Andres Pedroso with a 6-1 6-2 win in the International Tennis Championships.
2	Aisin finishes deal for Michigan land HANDY TOWNSHIP -- A Japanese auto supplier said Thursday it completed the purchase of about 750 acres of Michigan land for a proving ground.
1	Ryder-You can bank on Tiger, says Sutton Tiger Woods has not won a major in two years and lost his world number one ranking but US Ryder Cup captain Hal Sutton says reports of his demise will prove badly exaggerated this week.
2	Labor situation deserves honest talk For a moment last week, President Bush escaped the White House spin chamber and was the plainspoken man much of the nation came to like four years ago.
1	Green Tosses 3 Touchdown Passes, Chiefs Down Titans  NEW YORK (Reuters) - Trent Green hit Eddie Kennison with a  nine-yard touchdown pass with 37 seconds left to give the  Kansas City Chiefs a wild 49-38 win over the Tennessee Titans  in Nashville Monday.
1	Ft: Birmingham 2 Newcastle 2 Newcastle almost regained the lead when Bellamy headed a corner from Robert back across goal but Elliotts close range effort was somehow kept out by a pack of Blues bodies guarding the goal-line.
0	Four men held over Jakarta bomb Four men are arrested over the suicide bomb attack on the Australian embassy in Jakarta, police say.
3	Yahoo Taps X1 For Desktop Search Search engine giant Yahoo has tapped Pasadena-based X1 Technologies to add the ability to search desktop files and folders on Microsoft Windows platforms.
1	magic number down to 10 New York -- If the Braves' 13th consecutive division title seemed like a foregone conclusion before Wednesday, well then it seems doubly so today.
3	Sony looks under the Christmas tree Americans will go gadget shopping this holiday season even if oil prices go up, Sony execs say.
1	Reds pick up Miley's option for 2005 Reds general manager Dan O'Brien said Sunday what he has hinted at for the last month or so: Dave Miley and his staff will be back for 2005.
3	Longhorn announcements barely a blimp on IT radar While developers are naturally curious over tweaks to the Longhorn road map, many IT administrators barely take notice. Enterprise IT customers typically lag at least 
1	Brazilian GP: Sauber preview The Brazilian Grand Prix at Sao Paulo on 24 October will be the 18th and final round of the FIA Formula One World Championship 2004.
3	U.S. to Allow Some Telemarketing 'Robo Calls'  WASHINGTON (Reuters) - Telemarketers will be able to use  prerecorded "robo calls" to stay in touch with established  customers starting next week -- at least for the short term,  U.S. regulators said Friday.
0	EU draft draws fire in Turkey BRUSSELS: Turkey will have to recognize the Republic of Cyprus, if only tacitly, if it wants to begin membership negotiations with the European Union, according to a draft document that was leaked here Monday.
1	Vijay around, Tiger not yet out of woods The sun was setting when Vijay Singh, Fijian golfer of Indian origin, birdied the 18th here, and it seemed like a sign that Tiger Woods days as the worlds number one player may be fading.
1	Wilko in doubt World Cup hero and England skipper Jonny Wilkinson is set to miss the upcoming Test against Australia with a badly bruised right arm.
3	Record Breaking Supercomputer Performance US Secretary of Energy Spencer Abraham announced that a supercomputer developed for the nation's Stockpile Stewardship Program has attained a record breaking performance of 70.
3	Australia & New Zealand Amphibians such as leopard frogs and salamanders are threatened with extinction as their homes dry up and a new disease spreads, possibly as a result of global warming, according to a new study in Science magazine.
0	Former Philippine presidential candidate in deteriorating ... The former presidential candidate and movie actor Fernando Poe Jr.'s condition has deteriorated after he suffered a stroke, doctors said Monday.
1	Broncos DT Elliss Out for the Season  ENGLEWOOD, Colo. (Sports Network) - Veteran defensive  tackle Luther Elliss of the Denver Broncos will miss the  remainder of the season because of a herniated disk in his  lower back.
1	Live: Chinese Grand Prix Michael Schumacher has set the stage for what promises to be a thrilling fightback through the field by qualifying at the back of the grid for the inaugural Chinese Grand Prix, which starts at 0700.
2	Holiday Shoppers Off to a Fast Start Holiday shoppers spent 10 percent more Friday than they did a year ago, according to early reports, but Wal-Mart Stores Inc. dampened hopes for a strong start to the key retail season by 
1	Arizona State Retires Tillman's Jersey (AP) AP - Jake Plummer was among about 50 former Arizona State teammates of Pat Tillman who gathered Saturday night to help the school retire the fallen soldier's No. 42 jersey in an emotional halftime ceremony.
2	Nothing ventured, nothing at all gained There are two topics most venture capitalists hate to discuss: companies they invested in that tanked, and companies they didn't invest in that soared.
1	Huskies blank Buffalo Dan Orlovsky threw for 283 yards and a touchdown in his final home game yesterday to lead Connecticut to a 29-0 victory over Buffalo, assuring the Huskies of a winning record and making them eligible for a bowl bid.
1	Moose bullish about chances This is Mike Mussina's fourth postseason here, so he knows the drill. He understands that all of his bad memories of his disappointing season -- the Japan trip, his early-season struggles and 
1	Hamm not looking back Controversial Olympic gold medalist Paul Hamm is back in the United States and ready to move on. Hamm, in Worcester for the Rock & Roll 
2	It may be end of line for narrow track Hurricane forecasters debate the usefulness of the 'skinny line' in tracking maps, and look at more accurate alternatives.
2	Oil prices surge to a new high WASHINGTON -- The price of oil charged to a new high above $47 a barrel yesterday amid nagging concerns about instability in Iraq, the uncertain fate of Russian petroleum giant Yukos, and the world's limited supply cushion.
0	Saddam, Aides to Go on Trial Within Weeks - Daoud Iraq's toppled leader Saddam Hussein and his top aides will go on trial within weeks, Iraqi Minister of State Kasim Daoud said on Sunday.
3	Recording Industry Sues 750 Computer Users LOS ANGELES - The recording industry on Thursday filed another round of copyright infringement lawsuits against people it said were illegally distributing songs over the Internet.
1	Eck: A court would have cleared Novo Rangers manager Alex McLeish claims Nacho Novo would have been vindicated had his case been dealt with as a civil hearing. The striker was banned for one game and had 12 penalty points added to his record 
1	Indians Mount Charge The Cleveland Indians pulled within one game of the AL Central lead by beating the Minnesota Twins, 7-1, Saturday night with home runs by Travis Hafner and Victor Martinez.
2	DaimlerChrysler, GM to team up on hybrid engines General Motors and DaimlerChrysler say they're teaming up to develop hybrid technology for use in their vehicles. The two giant automakers say they have signed a memorandum of understanding.
2	HP Profit Tops Lowered Forecast (Reuters) Reuters - Hewlett-Packard Co.  on Tuesday said quarterly profit topped its own lowered expectations as the computer and printer maker saw record revenues in every business and every region.
2	Opel management, workers talk in job issues The management and labor representatives of the car producer Opel began talks Monday on thecontroversial massive layoffs faced by its workers.
2	Saks to close 11 stores New York retailing group Saks said Friday it will close 11 stores and shed 700 jobs. The company said it will close down eight Saks Fifth Avenue stores and three Off 5th Avenue 
1	(Sports Network) - Carlos Beltran may be the newest Killer B in ... lineup, but right now he is also the most feared hitter on the Astros. He'll. play the St. Louis Cardinals in Game 4 today at Minute Maid Park.
0	Spilled Oil, Gas Ignite in Iraq's South Rumaila Field  BASRA, Iraq (Reuters) - Oil and gas spilled during recent  sabotage attacks on Iraq's southern oil pipelines ignited  Sunday and firefighters battled to douse the flames.
0	Leaders converge on Melbourne PRIME Minister John Howard and Labor leader Mark Latham will converge on Melbourne today as the city gets into the swing of AFL celebrations.
0	Murdoch novel reveals Alzheimer's The last novel by the author Iris Murdoch reveals the first signs of Alzheimer's disease, experts say.
3	Why I will clone human cells: Dolly creator THE scientist who made his name by cloning Dolly the sheep said yesterday that he was 'very optimistic' about gaining a licence to clone human embryos to aid understanding of motor neurone disease.
0	Wen calls for better leadership from party BEIJING - Chinese Premier Wen Jiabao yesterday pledged to improve the leadership of the Communist Party at a time when its popularity is waning.
1	Hughes allowed to speak to Rovers The Football Association of Wales have given national boss Mark Hughes permission to speak to Blackburn over their vacant managerial post.
1	NBA brawl sends wrong message to all of us Ever since last Friday night's NBA brawl in Detroit, I have tried to make sense out of the whole mess. I have watched replay after replay of the ordeal, hoping to come up with some sort of reason 
2	Six Flags 3Q Net Income Falls 60 Percent NEW YORK - Six Flags Inc.'s third-quarter net income fell 60 percent, as cool weather hurt attendance at its amusement parks. Six Flags late Monday reported net income of $56.
2	The Next Shock: Not Oil, but Debt The American economic ship, which has weathered the recent run-up in crude oil prices, may be more vulnerable to sudden surges in the price of money.
2	Google shares down ahead of first lockup expiry Shares in newly public Google Inc. fell 2 percent on Wednesday as investors braced for the expiration of a lockup period that has kept insiders at the Web search company from selling stock.
