label	premise	hypothesis
0	On Menorca, search for more elusive prehistoric sites, or take the cliff paths of the northwest or south coasts.	Menorca is home to several well-hidden prehistoric sites.
2	An article explains that Al Gore enlisted for the Vietnam War out of fealty to his father and distaste for draft  Gore deplored the inequity of the rich not having to serve.	Gore dodged the draft.
2	Excellent reviews for the collaboration between two of the '90s' most acclaimed jazz saxophonists.	Critics compared the music to deranged caterwauling cats.
2	Taking an ecumenical tack, nation officials in Chicago recently issued edicts commanding preachers to back off their anti-Semitic rhetoric.	Nation officials in Chicago refuse to get involved in religious issues.
0	they're almost five hundred a month for a one bedroom place	Rent is close to five hundred dollars a month just for a one bedroom.
1	The story of the technology business gets spiced up because the reality is so bland.	Reality is so bland that the virtual reality technology business gets spiced up.
2	He fell in love with Monica Lewinsky--and even told her he wanted to be with her when he left office.	He hated Monica and wanted nothing to do with her after leaving the office.
2	Table 4.1: Selected Federal Income Tax Provisions That Influence Personal Saving	Personal savings is not influenced by tax provisions.
2	from grocery store baggers that want to buy my car because it's a Trans Am they're high school seniors seventeen years old and they got to impress their girl friend	My Trans Am isn't popular at all.
1	Postal Service could increase those same rates by at least 13.	The Postal Service would like to see the rates even higher than that.
2	He's been mean-spirited and vicious for so long that editors and reporters are tired of hearing about it.	Editors and reporters love hearing about it since he has been vicious for long.
0	Cultural transitions of major organizations are never easy to accomplish, and I would certainly not claim that it will be easy for GAO.	It's never easy to complete cultural transitions in major organizations.
2	it can't last seven years but it can last five IBM says let's throw it away Leading Edge will say we'll buy it from you	It will definitely last for at least seven years.
2	'And I don't want to risk a fire fight with what appear to be horribly equal numbers.'	I want to fight.
0	so that's that's one of your priorities there's got to be air has to be an automatic	One of your priorities should be automatic air.
2	The interim rule was reviewed by INS and EOIR under Executive Order	The interim rule did not pass through any review.
1	yeah it's definitely a way out of the way where  where as	Yes. There is a definitely a way out of there, where as there isn't a way out of the other field.
0	The rain had stopped, but the green glow painted everything around them.	The green glow painted everything around them after the rain had stopped.
1	He and his wife had lived at Styles Court in every luxury, surrounded by her care and attention. 	She had a beautiful garden at her disposal at Styles Court.
0	He married Dona Filipa Moniz (Perestrelo), the daughter of Porto Santo's first governor, and lived on the island for a period, fathering a son there.	He made a life for himself on the island, marrying Dona Filipa Moniz and siring a son.
1	Then you're ready for the fray, either in the bustling great bazaars such as Delhi's Chandni Chowk or Mumbai's Bhuleshwar, or the more sedate ambience of grander shops and showrooms.	All of the great bazaars are bustling at all times. 
1	But of course the DSM is informed by social values.	The DSM is mostly concerned with medical inputs rather than social values.
0	From 1998 through 2000, the federal government achieved surpluses, shifting from being a drain on net national saving to become a contributor to it.	Government surplus contributed to net national saving.
2	Watergate remains for many an unhealed wound, and Clinton's critics delight in needling him with Watergate comparisons--whether to Whitewater or Flytrap.	Clinton is the same person as Whitewater or Flytrap.
0	do you do you put it in the refrigerator then or you	Do you put it in the refrigerator after?
1	yeah it is it is and i guess you don't have to but you know if you look at oh have you ever seen any of the Jacques Teti Teti movies the French movies uh Teti it it	Have you ever watched any French films?
2	In addition, special service areas are funded for two populations with special needs - Native Americans and migrant workers.	Native Americans and migrant workers do not have any special areas. 
2	At least they're getting stoned first, I rationalized.	It's awful that they get stoned first, I argued. 
2	'You should do the fixing.'	"I'll take care of fixing this.". 
2	It's a great novelty, but very expensive.	It's fairly cheap and mundane.
1	Others love to see it in the middle of the heaviest monsoon, its marble translucent, its image blurred in the rain-stippled water channels of its gardens.	It is especially beautiful during the monsoon season.
2	Little is recorded about this group, but they were probably the ancestors of the Gododdin, whose feats are told in a seventh-century Old Welsh manuscript.	Gododdin's deeds were never written down because it was to be passed down only orally. 
1	Pat Buchanan followed immediately behind, handing out smallpox-infected blankets and bottles of whiskey.	Pat Buchanan, being behind, was trying to reach who was in front of him.
1	Blue says Blumenthal claimed Clinton had told him that Lewinsky had made unwanted sexual advances.	Clinton said that Monica Lewinsky made unwanted sexual advances during her time as a journalist in the White House. 
1	i agree with you but did you see the map they drew up on uh on how they were gonna divide up the districts	The district divisions map was incomplete.
2	He watched the river flow.	The riverbed was completely dry.
2	Inside are leather-bound regimental books with each serviceperson's name duly inscribed.	The books don't mention individual names.
1	The percent of total cost for each function included in the model and cost elasticity (with respect to volume) are shown in Table 1.	Each function cost $1000 to create.
1	but i've lived up here all my life and i'm fifty eight years old so i i could	I have my family here living with me.
2	In our family we have two sons in public life.	Our family has no members in public life.
2	Sitting up at night is always rather jumpy, she confessed.	She stated, "Sitting up at night is relaxing."
0	In about a quarter of an hour the bell rang, and Tuppence repaired to the hall to show the visitor out.	The bell rang after about 15 minutes and Tuppence went to go walk the visitor out of the house. 
1	you know it's it's not easy to do but	It's worth it in the end.
1	In the other sight he saw Adrin's hands cocking back a pair of dragon-hammered pistols.	Adrin was seen cocking a pistol in each hand out of the corner of his eye.
0	On the days I go to my office, I wear a flannel shirt with no necktie if the weather is cool.	On cool days, I wear a flannel shirt to the office. 
1	This step of the analysis employs complex computer models that simulate the transport and transformation of emitted pollutants in the atmosphere.	The analysis can't be done by humans 
0	He was standing in front of a grey backdrop- somewhere that could be anywhere.	You couldn't tell where he was because he was in front of a backdrop.
0	The door did not budge.	The door didn't move. 
1	The opportunity	Opportunities are important to take advantage of.
2	4 billion for mercury.	Mercury cannot be quantified.
2	Views from  Implementation Research in Education.	Lack of views on research in education 
2	It is that prospect that may bring Republicans together to defend a CPI everyone knows is inaccurate.	Everyone knows that the CPI is the most accurate.
1	Hang it all! said Tommy indignantly.	Tommy didn't realize he was being indignant.
2	Czarek had to fight for attention:	Czarek did not have to fight for attention. 
0	Abortive countrywide revolts	The country is in unrest.
1	because then they'll or you have a prescription	That gives assurance that you've got a prescription.
2	Judge Bailey was chosen because he should be looked at as the representative of all future winners.	Nobody liked Judge Bailey.
0	The Romans built roads and established towns, including the towns of Palmaria (Palma) and Pollentia (near present-day Alc??dia).	The Romans established several towns over the course of their history.
1	yeah and every once in a while they'll have dressing but uh whoever makes it uh goes crazy with the sage	Sometimes they have dressing but they use too much sage and salt.
0	The Data Warehousing Institute provides education and training in the data warehousing and business intelligence industry.	Education and training in the data warehousing and business intelligence industry is provided by The Data Warehousing Institute.
2	'Upload him into his body? What body?'	He has a body.
2	But, when I discovered that it was known all over the village that it was John who was attracted by the farmer's pretty wife, his silence bore quite a different interpretation. 	The farmer's wife was unattractive to John.
2	Overlapping the others?	Separate from the others?
2	I never said you were a mandrake-man.	I have said you were a mandrake.
0	you did you see that	Did you see that?
2	To get a wonderful view of the whole stretch of river, and to stretch your legs in a beautiful parklike setting, climb up to the Ceteau de Marqueyssac and its jardins suspendus (hanging gardens).	The grounds are barren and dilapidated. 
2	Good  Oklahoma now has a Public Guardianship Program, albeit unfunded, that will supply lawyers to perform this rights-monitoring process	Good Oklahoma has no programs for supplying lawyers to those who need them.
0	Meet the Press host Tim Russert took his Christmas vacation five days early by letting Rep.	Tim Russert, host of Meet The Press took his Christmas vacation five days sooner.
1	yeah i mean just when uh the they military paid for her education	She originally got into the military in the hopes of securing college funding.
2	During the Crimean War (1854 56) she set up a hospital in the huge Selimiye Barracks (Selimiye Kelase).	The Crimean War ended in the 1840s.
1	SSA will consider the comments received by April 14, 1997, and will issue revised regulations if necessary.	Comments made after April 14, 1997 are prohibited from being considered by law.
1	While obviously constrained by their bondage, blacks nonetheless forged a culture rich with religious observances, folk tales, family traditions, song, and so on.	Their traditional life is holding them back.
2	The Shore Temple, which has withstood the wind and the waves for 12 centuries, is made up of two shrines.	The Shore Temple has been lost to time. 
