label	text
0	This school is disgusting, I had to remove my children from this school as they were constantly sick and missing more days than they were there. The positive responses are from staff members by the way.....
0	Very modern design. Play area is great for older kids, very dirty though. Bathroom was filthy...urine on each toilet and the floor. No toilet paper. It was very crowded at 4pm.  Service was good and food fresh.
0	very disappointed,  went in early in the morning just wanting to sit and in joy a coffee. the coffee was only warm and not all that good. there is no comfortable relaxing place to sit. music was way to loud for that early in the day. i left without drinking my coffee.
1	I drove by this place last week, and it looked inviting, so I swung by today. Overall it was delicious. You know when people say meat "falls off the bone"? The meat on the ribs here literally fell off the bone; I had do ask for a fork as a result. The sauce was very tasty; its in a squeeze bottle and I wanted it to have been warm, rather than room temperature, but my tastebuds didn't seem to care. It was very clean, reasonably priced, and the service was friendly. I'd return by myself, and with others.
1	I saw LOVE yesterday, my first Las Vegas show. It was mind-bogglingly fantastic. I was totally swept away and mesmerized for over two hours. The sheer creativity, imagination, music, engineering, intricate choreography left me in a state of deep admiration for the entire effort. It was superb beyond words. See it before you die.
0	This place was HORRIBLE! It's extremely small I am almost sure it was a Mc Donald's  Before it was a Denny's. On a busy Sunday there is no place to wait in comfort. The AC sucks & they don't accommodate seating for large families. We waited more them 25min for them to say it will take longer to seat us cause it would be a fire hazard. Sad thing is NONE of us are over weight. They could not accommodate a seating for the baby in a high chair.
1	I've been to the original Hofbrauhaus and while definitely not the same, this place is still very enjoyable. Huge HB beers, multitudes of sausage, and their wonderful sauerkraut makes me happy. The $9,95 daily lunch specials all looked good as well. Do a Jager shot and they spank you, supposedly. Its a pretty cheap cab ride from the strip and a nice getaway from the constant slot machine clingclongbeepchingdingdings.
1	I eat from here at least once a month, and I absolutely love their Souvlaki plate. The portions are huge and the prices more than reasonable. The place itself is small and always busy, which is why I usually take my food to go. The employees are all very friendly and promote a great family atmosphere for casual dining. I would definitely recommend this place!
0	I was impressed with the variety of goods but the service was, like most things Quebec, lethargic and indifferent. Very likely due to me being English speaking. Stores like this have convinced me that internet shopping (in the USA) is the way to go. Too bad.
1	Best sushi place in Champaign.  The sushi is not excellent (unavoidable in a place like this) but is still very good and served at a reasonable price.  Great service as well.  Highly recommended.
1	Delicious food! Had the #breakfast sandwich, west coast sandwich, red velvet lollipop, and strawberry sunrise smoothie and everything was delicious. Employees are helpful and friendly too. Matter of time before lines are out the door!
0	This was our first and last time. Why is there an entry charge of $12/person??? We got our tickets on Groupon for $6/person. And why would we pay $2 for an ExtraHand cardboard box. You can't even SAMPLE other food trucks, it's just too darn expensive. We picked two FoodTrucks, cost $30. Add that to the entry fee and you can go to a sit down restaurant with no waiting line and clean bathrooms.
0	It was worth it for the groupon, I guess, but I won't be going back.  The place is small, the service was horrific, and the food was assembly lined together and wasn't even piping hot even tho it took forever to come out, the ingredients were minimal even tho they charged $1 for each add on, and the flavor wasn't anything impressive!  The place up on Warm Springs is a 5 star joint compared to this place.
1	The portions are enormous! It was a bit of a wait before we could be seated, but it was worth the wait! The food was delicious and far beyond your normal restaurant selections. The staff was super friendly and knowledgeable.   It's a little pricey, but no more than a night at Outback Steakhouse.
0	I was pretty disappointed in the size of this location. It's super small and had a really small selection compared to other BevMo locations I have visited. It's a shame because the staff wes super friendly and helpful. I may come back just because this is closer to my house then Total Wine, but only if I want something very common.
0	Disappointed! Received a Christmas gift that was the wrong size, unable to find something I care for to replace it. The customer service reps were very helpful, but follow you through the store. I felt a little pressured to purchase which made me uncomfortable. In the end I could not find anything I liked and was only able to get a store credit. Since the stock is depleted from Christmas I hope I can back to find something later to use the credit. I will not purchase from them in the future.
1	We've been stopping here ever since they opened. We love this place and since it's a short walk from home, it's a winner to us! The food is awesome, service is so-so at times, but hey, it's a PUB!  Stop in on the weekends and listen to some great live music.. a must for St Patty's Day! Don't forget to try the new $1.00 street tacos.. the steak are my favorite..mmmm yum :)
1	Greatest thing about this place is that it's indoors. We get shaved ice often now that it's hot and the best thing is being able to order and enjoy while seated in an air conditioned building. Lots of options and flavors. The smoothie I got was really good. My girl liked the color changing spoons so we will be back sooner than later.
0	First question, how can you have so many employees and have a huge store but be so slow? Second, the drive thru line makes it impossible for anyone to park and get out of their parking spot. This Starbucks was poorly designed and I have had better experiences at other stores.
1	This place is awesome..Locals told us about this place a few years ago and we always make it a stopping point whenever we go to Vegas(like in 3 hours:-)..They even have video poker if you want to gamble..The buffet on Sat/Sun morning is awesome..If you like/love Mexican food, you definitely want to stop here...Very easy to find....Pete
1	My bf and I LOVE this place!! Our fave is the house sirloin!!! It's sooo good it melts in your mouth goodness!! Oh and the lobster bisque is yummmyy too!
0	I have been going here for years. LOVE the food.  Problem; on our order made this week (delivery pizza & wings) our entire family AND extended family got food poisoning. (there is no way it was a bug, only people affected were those who ate chicken wings)
1	They have really really stepped up their beer taps.  They had 27, mostly regional seasonals.  Great Oktoberfests!   As always, the bbq was great.  and the mac and cheese...so insanely yummy.
0	Really cool lights at the fair tonight look to the north and see such a delight. Well last night was the last day of the fair is closed it's gone now for next year but they will be the next fair in the spring.
0	Pricey, highly forgettable pizza. There was nothing unique or special about this pizza -- not its bland sauce, dry, thin crust, tasteless toppings or its overall taste. Our bartender/server was very personable and nice. Thank god there was beer. We had a large with pepperoni and mushrooms. $35 for a pizza and two beers....I'd rather grate off my nipples with a cheese grater than rush back here any time soon. I do not get the hype surrounding this place.
1	Amazing ox tail stew, this alone made my day. Great variety, comfort Chinese food, good portions, acceptable service, it's my new favorite budget go-to Chinese restaurant.
0	The last 3 trips to cold stone have left me with an overpriced, freezer burned, uneatable cup of " I am never going here again" the kids convinced me to go back times 2 and 3, but never again.
1	Nice set up in here with the bar in a horseshoe type shape in the center and tables surrounding both sides of the bar.  Great place to watch a game- plenty of flat screens... I ordered the turkey club which had a weird name that I can't recall.  It was excellent- really good quality turkey and avocado on sourdough served w fries.   The drinks are STIFF!  Get a stiffy!  Haha
1	This place is fantastic. The food, the service, the location right in front of the Bellagio fountains. I cannnot reccomend it enough.
0	Seated at a booth that was tight and very uncomfortable.  The table wobbled terribly.  An easy fix that has obviously been ignored !Bean dip was bland and chips seemed a bit stale!  Ordered Chimichanga de Carnitas.  Very dry!  Had to use sour cream to give it flavor and some moisture.  Beans and rice were less than tasty .  Won't be going back !
1	Now dis is a cool place 2 chill, eat, hang out N stuff. Food is BomB interior is off da hook. Classy. Elegant. & Hip. This place is now on da must return spot every time in Vegas. Every time...
0	This place is just horrible. I'll admit the fancy and alcoholic shakes are cool but the food is just plain average - and with so much great food in Vegas I will never go here again.  We tried the quesadillas, sliders, fries and one of the recommended appetizers. Consistently blah.  Pretty disappointed since they place looks very cool. So many choices in this town, the only way this place survives is because they get so many first timers.
1	awesome gym, awesome trainers, awesome atmosphere! awesome workout!!! enough said!!!!!! try it they give out a week free!!!!! there is nothing to loose and soo much to gain!
1	This is a high end Chinese restaurant that has great service and very good food.  Be prepared to pay a premium price for rather small portions.  You might need to order 2 dishes per person if you are at all hungry.  The food is really good with high end ingredients.  The mongolian beef was spectacular....I would recommend it.
1	This is a no joke biker bar, Bubba is in the back cooking, not Bobby Flay. With that said Stick with all you can eat breakfast, tacos, or the Burgers and you'll be fine.   This is my default watering hole since it's stumbling distance from home and it's perfect. They seem to get great live bands, waitstaff is cool, and it's a 2% biker bar so they keep it drama free. Overall it's a great place to get fucked up.
0	I have been going to this place for years.  However, not in the last year.  Went there last night and the service was dreadful.  The place was very hot and dirty.  The food was similar to what you would get at Taco Bell.  The burro I had was full of dried out chicken and nothing else. The beans taste like they were from a can.  Really disappointed.
0	Pretentious place for those who like to maintain they aren't pretentious.  I thought it would be a cool low key place but the wait staff was snobby.  The place itself seems nice but it's the attitude from the employees (bartender excluded) that made it sour to me.  I'll pass on this place in favor of some of the other watering holes nearby that are more welcoming to the jeans and t-shirt crowd.
